Series,Time,Value
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T03,0.178
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T04,0.173
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T04,0.168
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T04,0.158
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T04,0.171
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T05,0.189
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T05,0.165
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T05,0.183
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T05,0.188
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T06,0.192
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T06,0.19
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T06,0.183
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T06,0.188
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T07,0.172
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T07,0.17
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T07,0.161
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T07,0.164
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T08,0.174
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T08,0.163
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T08,0.153
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T08,0.165
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T09,0.177
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T09,0.149
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T09,0.153
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T09,0.167
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T10,0.17
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T10,0.159
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T10,0.15
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T10,0.173
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T11,0.177
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T11,0.166
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T11,0.171
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T11,0.168
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T12,0.177
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T12,0.151
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T12,0.173
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T12,0.183
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T13,0.181
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T13,0.161
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T13,0.18
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T13,0.164
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T14,0.172
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T14,0.169
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T14,0.181
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T14,0.176
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T15,0.17
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T15,0.165
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T15,0.171
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T15,0.16
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T16,0.182
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T16,0.16
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T16,0.173
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T16,0.176
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T17,0.173
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T17,0.173
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T17,0.175
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T17,0.175
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T18,0.186
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T18,0.163
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T18,0.171
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T18,0.181
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T19,0.164
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T19,0.148
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T19,0.182
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T19,0.164
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T20,0.175
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T20,0.155
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T20,0.158
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T20,0.181
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T21,0.19
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T21,0.164
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T21,0.173
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T21,0.163
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T22,0.163
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T22,0.168
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T22,0.169
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T22,0.163
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T23,0.194
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T23,0.164
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T23,0.169
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T23,0.167
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T00,0.17
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T00,0.161
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T00,0.159
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T00,0.18
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T01,0.17
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T01,0.162
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T01,0.155
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T01,0.164
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T02,0.168
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T02,0.163
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T02,0.163
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T02,0.17
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T03,0.178
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T03,0.158
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T03,0.161
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T03,0.165
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T04,0.177
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T04,0.165
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T04,0.168
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T04,0.181
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T05,0.181
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T05,0.168
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T05,0.169
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T05,0.16
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T06,0.165
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T06,0.159
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T06,0.158
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T06,0.164
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T07,0.179
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T07,0.157
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T07,0.158
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T07,0.158
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T08,0.182
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T08,0.153
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T08,0.169
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T08,0.17
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T09,0.166
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T09,0.154
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T09,0.166
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T09,0.162
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T10,0.174
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T10,0.164
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T10,0.168
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T10,0.171
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T11,0.178
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T11,0.163
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T11,0.178
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T11,0.172
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T12,0.185
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T12,0.173
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T12,0.177
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T12,0.17
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T13,0.194
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T13,0.178
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T13,0.188
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T13,0.164
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T14,0.177
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T14,0.17
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T14,0.182
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T14,0.178
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T15,0.185
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T15,0.17
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T15,0.168
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T15,0.182
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T16,0.18
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T16,0.19
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T16,0.177
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T16,0.186
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T17,0.191
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T17,0.182
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T17,0.183
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T17,0.18
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T18,0.195
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T18,0.175
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T18,0.182
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T18,0.202
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T19,0.195
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T19,0.179
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T19,0.181
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T19,0.186
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T20,0.188
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T20,0.187
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T20,0.181
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T20,0.193
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-22T21,0.198
