Series,Time,Value
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T00,0.185
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T00,0.152
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T00,0.162
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T00,0.192
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T01,0.194
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T01,0.192
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T01,0.186
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T01,0.191
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T02,0.188
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T02,0.177
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T02,0.176
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T02,0.182
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T03,0.187
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T03,0.177
"sum(namespace_pod_name_container_name:container_cpu_usage_seconds_total:sum_rate{namespace=""openshift-monitoring"",container_name!=""POD""})",2019-04-21T03,0.174
